Location,Period,Indicator,Dim1,Tooltip,FactValueForMeasure,FactValueString
Kyrgyzstan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,143.6,143.6,143.6
Kyrgyzstan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,216.6,216.6,216.6
Kyrgyzstan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,290.1,290.1,290.1
Kyrgyzstan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,140.7,140.7,140.7
Kyrgyzstan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,217.1,217.1,217.1
Kyrgyzstan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,291.7,291.7,291.7
Kyrgyzstan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,139.9,139.9,139.9
Kyrgyzstan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,216.8,216.8,216.8
Kyrgyzstan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,294.2,294.2,294.2
Kyrgyzstan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,136.2,136.2,136.2
Kyrgyzstan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,219.4,219.4,219.4
Kyrgyzstan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,297.7,297.7,297.7
Kyrgyzstan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,137.1,137.1,137.1
Kyrgyzstan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,227.5,227.5,227.5
Kyrgyzstan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,306.5,306.5,306.5
Kyrgyzstan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,144.2,144.2,144.2
Lao People's Democratic Republic,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,192.8,192.8,192.8
Lao People's Democratic Republic,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,215.1,215.1,215.1
Lao People's Democratic Republic,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,171.1,171.1,171.1
Lao People's Democratic Republic,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,196.7,196.7,196.7
Lao People's Democratic Republic,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,218.9,218.9,218.9
Lao People's Democratic Republic,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,175,175,175
Lao People's Democratic Republic,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,200.8,200.8,200.8
Lao People's Democratic Republic,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,222,223,222
Lao People's Democratic Republic,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,179.3,179.3,179.3
Lao People's Democratic Republic,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,205.1,205.1,205.1
Lao People's Democratic Republic,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,227.3,227.3,227.3
Lao People's Democratic Republic,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,183.6,183.6,183.6
Lao People's Democratic Republic,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,209.3,209.3,209.3
Lao People's Democratic Republic,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,231.3,231.3,231.3
Lao People's Democratic Republic,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,187.8,187.8,187.8
Lao People's Democratic Republic,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,213.9,213.9,213.9
Lao People's Democratic Republic,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,235.8,235.8,235.8
Lao People's Democratic Republic,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,192.4,192.4,192.4
Lao People's Democratic Republic,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,218.1,218.1,218.1
Lao People's Democratic Republic,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,239,240,239
Lao People's Democratic Republic,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,196.8,196.8,196.8
Lao People's Democratic Republic,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,223.3,223.3,223.3
Lao People's Democratic Republic,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,245.2,245.2,245.2
Lao People's Democratic Republic,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,201,202,201
Lao People's Democratic Republic,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,228.4,228.4,228.4
Lao People's Democratic Republic,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,250.4,250.4,250.4
Lao People's Democratic Republic,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,207.3,207.3,207.3
Lao People's Democratic Republic,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,233.9,233.9,233.9
Lao People's Democratic Republic,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,256.3,256.3,256.3
Lao People's Democratic Republic,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,212.4,212.4,212.4
Lao People's Democratic Republic,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,239,240,239
Lao People's Democratic Republic,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,262.9,262.9,262.9
Lao People's Democratic Republic,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,218.2,218.2,218.2
Lao People's Democratic Republic,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,245.8,245.8,245.8
Lao People's Democratic Republic,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,268.9,268.9,268.9
Lao People's Democratic Republic,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,224,224,224
Lao People's Democratic Republic,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,252.5,252.5,252.5
Lao People's Democratic Republic,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,276.1,276.1,276.1
Lao People's Democratic Republic,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,230.2,230.2,230.2
Lao People's Democratic Republic,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,258.8,258.8,258.8
Lao People's Democratic Republic,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,282.9,282.9,282.9
Lao People's Democratic Republic,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,236.2,236.2,236.2
Lao People's Democratic Republic,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,264.9,264.9,264.9
Lao People's Democratic Republic,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,289.2,289.2,289.2
Lao People's Democratic Republic,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,242,242,242
Lao People's Democratic Republic,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,271.2,271.2,271.2
Lao People's Democratic Republic,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,295.8,295.8,295.8
Lao People's Democratic Republic,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,247.9,247.9,247.9
Lao People's Democratic Republic,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,277.6,277.6,277.6
Lao People's Democratic Republic,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,302.6,302.6,302.6
Lao People's Democratic Republic,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,253,254,253
Latvia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,153.8,153.8,153.8
Latvia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,224.8,224.8,224.8
Latvia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.16,84.16,84.16
Latvia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,154.3,154.3,154.3
Latvia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,227.3,227.3,227.3
Latvia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,82.92,82.92,82.92
Latvia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,158.9,158.9,158.9
Latvia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,233.5,233.5,233.5
Latvia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.79,85.79,85.79
Latvia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,164.3,164.3,164.3
Latvia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,238.9,238.9,238.9
Latvia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,92.29,92.29,92.29
Latvia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,161,162,161
Latvia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,240.6,240.6,240.6
Latvia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.73,85.73,85.73
Latvia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,167,167,167
Latvia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,243.3,243.3,243.3
Latvia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,93.67,93.67,93.67
Latvia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,178.3,178.3,178.3
Latvia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,261.5,261.5,261.5
Latvia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,97.9,97.9,97.9
Latvia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,184.5,184.5,184.5
Latvia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,269.5,269.5,269.5
Latvia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,102.5,102.5,102.5
Latvia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,200.3,200.3,200.3
Latvia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,293,294,293
Latvia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,108.6,108.6,108.6
Latvia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,223.7,223.7,223.7
Latvia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,328.4,328.4,328.4
Latvia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,120.1,120.1,120.1
Latvia,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,232.1,232.1,232.1
Latvia,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,337.5,337.5,337.5
Latvia,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,127.9,127.9,127.9
Latvia,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,219.5,219.5,219.5
Latvia,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,324.6,324.6,324.6
Latvia,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,115,116,115
Latvia,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,208.7,208.7,208.7
Latvia,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,305.4,305.4,305.4
Latvia,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,115.3,115.3,115.3
Latvia,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,212.1,212.1,212.1
Latvia,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,308.4,308.4,308.4
Latvia,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,118,119,118
Latvia,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,221,221,221
Latvia,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,327.1,327.1,327.1
Latvia,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,116.2,116.2,116.2
Latvia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,228.7,228.7,228.7
Latvia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,335.4,335.4,335.4
Latvia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,123.2,123.2,123.2
Latvia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,217.2,217.2,217.2
Latvia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,320.4,320.4,320.4
Latvia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,116.1,116.1,116.1
Lebanon,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,95.62,95.62,95.62
Lebanon,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,105.5,105.5,105.5
Lebanon,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,83.03,83.03,83.03
Lebanon,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,98.44,98.44,98.44
Lebanon,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,109.7,109.7,109.7
Lebanon,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.7,84.7,84.7
Lebanon,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,99.19,99.19,99.19
Lebanon,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,110.9,110.9,110.9
Lebanon,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.17,85.17,85.17
Lebanon,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,97.75,97.75,97.75
Lebanon,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,109.1,109.1,109.1
Lebanon,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.58,84.58,84.58
Lebanon,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,94.58,94.58,94.58
Lebanon,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,104.4,104.4,104.4
Lebanon,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,83.45,83.45,83.45
Lebanon,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,111.1,111.1,111.1
Lebanon,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,130.6,130.6,130.6
Lebanon,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,89.83,89.83,89.83
Lebanon,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,95.31,95.31,95.31
Lebanon,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,105.6,105.6,105.6
Lebanon,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.27,84.27,84.27
Lebanon,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,96.47,96.47,96.47
Lebanon,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,107.2,107.2,107.2
Lebanon,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.12,85.12,85.12
Lebanon,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,99.26,99.26,99.26
Lebanon,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,111.3,111.3,111.3
Lebanon,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,86.56,86.56,86.56
Lebanon,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,99.32,99.32,99.32
Lebanon,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,110,111,110
Lebanon,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,86.98,86.98,86.98
Lebanon,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,115.6,115.6,115.6
Lebanon,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,135.6,135.6,135.6
Lebanon,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,93.79,93.79,93.79
Lebanon,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,103.3,103.3,103.3
Lebanon,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,116,116,116
Lebanon,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,89.67,89.67,89.67
Lebanon,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,104,105,104
Lebanon,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,118.2,118.2,118.2
Lebanon,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,90.97,90.97,90.97
Lebanon,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,107.3,107.3,107.3
Lebanon,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,121.2,121.2,121.2
Lebanon,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,92.71,92.71,92.71
Lebanon,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,109.5,109.5,109.5
Lebanon,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,124.3,124.3,124.3
Lebanon,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,94.44,94.44,94.44
Lebanon,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,111.7,111.7,111.7
Lebanon,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,127.4,127.4,127.4
Lebanon,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,96.12,96.12,96.12
Lebanon,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,113.8,113.8,113.8
Lebanon,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,130.5,130.5,130.5
Lebanon,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,97.87,97.87,97.87
Lesotho,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,483.5,483.5,483.5
Lesotho,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,535.6,535.6,535.6
Lesotho,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,445.3,445.3,445.3
Lesotho,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,498.3,498.3,498.3
Lesotho,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,552.5,552.5,552.5
Lesotho,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,458.5,458.5,458.5
Lesotho,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,494.9,494.9,494.9
Lesotho,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,549.5,549.5,549.5
Lesotho,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,454.7,454.7,454.7
Lesotho,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,487.3,487.3,487.3
Lesotho,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,539.5,539.5,539.5
Lesotho,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,449.4,449.4,449.4
Lesotho,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,478.5,478.5,478.5
Lesotho,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,523.8,523.8,523.8
Lesotho,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,447.1,447.1,447.1
Lesotho,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,467.2,467.2,467.2
Lesotho,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,517,518,517
Lesotho,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,430.5,430.5,430.5
Lesotho,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,477.8,477.8,477.8
Lesotho,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,520.1,520.1,520.1
Lesotho,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,448.8,448.8,448.8
Lesotho,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,493.3,493.3,493.3
Lesotho,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,516.8,516.8,516.8
Lesotho,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,480.6,480.6,480.6
Lesotho,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,520.7,520.7,520.7
Lesotho,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,540.6,540.6,540.6
Lesotho,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,511.2,511.2,511.2
Lesotho,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,589.6,589.6,589.6
Lesotho,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,603.4,603.4,603.4
Lesotho,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,585.1,585.1,585.1
Lesotho,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,620.1,620.1,620.1
Lesotho,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,637.5,637.5,637.5
Lesotho,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,612.7,612.7,612.7
Lesotho,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,637.1,637.1,637.1
Lesotho,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,652.2,652.2,652.2
Lesotho,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,631.4,631.4,631.4
Lesotho,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,626.7,626.7,626.7
Lesotho,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,642.8,642.8,642.8
Lesotho,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,619.7,619.7,619.7
Lesotho,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,607.9,607.9,607.9
Lesotho,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,625.8,625.8,625.8
Lesotho,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,598.8,598.8,598.8
Lesotho,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,580.5,580.5,580.5
Lesotho,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,600.7,600.7,600.7
Lesotho,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,568.9,568.9,568.9
Lesotho,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,546.1,546.1,546.1
Lesotho,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,568.4,568.4,568.4
Lesotho,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,532.3,532.3,532.3
Lesotho,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,507,507,507
Lesotho,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,530.9,530.9,530.9
Lesotho,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,491.4,491.4,491.4
Liberia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,230.3,230.3,230.3
Liberia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,249.5,249.5,249.5
Liberia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,211.8,211.8,211.8
Liberia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,240.6,240.6,240.6
Liberia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,263.7,263.7,263.7
Liberia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,218.3,218.3,218.3
Liberia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,310.1,310.1,310.1
Liberia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,336.6,336.6,336.6
Liberia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,284.2,284.2,284.2
Liberia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,236.3,236.3,236.3
Liberia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,252.6,252.6,252.6
Liberia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,221.1,221.1,221.1
Liberia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,239.5,239.5,239.5
Liberia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,255.5,255.5,255.5
Liberia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,224.6,224.6,224.6
Liberia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,247.3,247.3,247.3
Liberia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,264.2,264.2,264.2
Liberia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,231.7,231.7,231.7
Liberia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,257,258,257
Liberia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,275.8,275.8,275.8
Liberia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,241.4,241.4,241.4
Liberia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,268.7,268.7,268.7
Liberia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,288.2,288.2,288.2
Liberia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,250.6,250.6,250.6
Liberia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,277.8,277.8,277.8
Liberia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,298.8,298.8,298.8
Liberia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,258.2,258.2,258.2
Liberia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,285.6,285.6,285.6
Liberia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,306.8,306.8,306.8
